"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.450191875E0,-5.379812622E-1,-1.014590149E0,9.974956970E0,1.004084576E1
1.460259875E0,-1.736389160E-2,5.670208740E-1,8.898994446E0,8.917057605E0
1.470327875E0,-1.796264648E-2,-5.487588501E-1,1.038166122E1,1.039616991E1
1.480395875E0,4.923262024E-1,-3.724255371E-1,9.771979065E0,9.791458559E0
1.490463875E0,6.439608765E-1,-2.028282166E-1,9.821526031E0,9.844704083E0
1.500531875E0,5.230123901E-1,-4.959187317E-1,9.849817200E0,9.876151893E0
1.510599875E0,6.945556641E-2,9.789642334E-2,9.841284943E0,9.842016923E0
1.520667875E0,8.681945801E-2,1.293310547E-1,9.914183350E0,9.915406983E0
1.530735875E0,2.633024597E-1,4.207749939E-1,9.965227203E0,9.977581520E0
1.540803875E0,7.259902954E-2,4.749623108E-1,9.872719574E0,9.884404464E0
1.550871875E0,-1.749861145E-1,3.586541748E-1,9.928254089E0,9.936271042E0
1.560939875E0,-3.429368591E-1,3.094065857E-1,9.861941986E0,9.872752294E0
1.571007875E0,-4.489164734E-1,2.709365845E-2,9.971364441E0,9.981501334E0
1.581075875E0,-3.387455750E-1,-1.990859985E-1,9.855954437E0,9.863783334E0
1.591143875E0,-2.020797729E-1,-1.468446350E-1,9.849517822E0,9.852684960E0
1.601211875E0,5.658233643E-2,-2.580633545E-1,9.954449615E0,9.957954881E0
1.611279875E0,2.519261169E-1,-1.719923401E-1,9.831704865E0,9.836435771E0
1.621347875E0,3.608995056E-1,-1.354682922E-1,9.884994049E0,9.892507643E0
1.631415875E0,3.384461975E-1,-1.547781372E-1,9.892927551E0,9.899925133E0
1.641483875E0,2.215393066E-2,-8.607101440E-2,9.913285217E0,9.913683615E0
1.651551875E0,-1.760339355E-1,-1.746867371E-1,9.942175140E0,9.945267715E0
1.661619875E0,-2.146536255E-1,-3.634442139E-1,9.808503113E0,9.817581229E0
1.671687875E0,-3.068618774E-1,-6.271957397E-1,9.906698914E0,9.931274947E0
1.681755875E0,-5.134323120E-2,-6.047424316E-1,9.893526306E0,9.912124510E0
1.691823875E0,1.142124939E-1,1.074765015E-1,9.821526031E0,9.822778084E0
1.701891875E0,-4.056564331E-2,-4.505630493E-2,9.903854828E0,9.904040392E0
1.711959875E0,-1.077758789E-2,8.382568359E-3,9.878856812E0,9.878866247E0
1.722027875E0,-2.264790344E-1,-1.302291870E-1,9.987830200E0,9.991246394E0
1.732095875E0,-7.229965210E-2,-8.173004150E-2,9.869426422E0,9.870029632E0
1.742163875E0,-1.115180969E-1,-7.963439941E-2,9.954000549E0,9.954943740E0
1.752231875E0,-8.143066406E-2,-6.481521606E-2,9.943372650E0,9.943917318E0
1.762299875E0,2.549198914E-1,2.799179077E-2,9.739496613E0,9.742872367E0
1.772367875E0,-9.819580078E-2,-9.909393311E-2,9.992470551E0,9.993444337E0
1.782435875E0,8.816665649E-2,-6.182144165E-2,9.811646576E0,9.812237450E0
1.792503875E0,2.784210205E-2,-6.047424316E-2,9.892029419E0,9.892253451E0
1.802571875E0,3.847000122E-2,-4.894821167E-2,9.850415955E0,9.850612689E0
1.812639875E0,-3.622467041E-2,-9.445358276E-2,9.886940002E0,9.887457525E0
1.822707875E0,-1.767823792E-1,-1.752854919E-1,9.940827942E0,9.943944750E0
1.832775875E0,-5.164260864E-2,-3.577560425E-2,9.905651093E0,9.905850313E0
1.842843875E0,-1.326242065E-1,-1.457968140E-1,9.962981873E0,9.964931193E0
1.852911875E0,2.004331970E-1,1.068777466E-1,9.744436340E0,9.747083457E0
1.862979875E0,-1.291813660E-1,-8.696914673E-2,9.960137787E0,9.961355138E0
1.873047583E0,-4.640350342E-3,-3.128494263E-2,9.906998291E0,9.907048774E0
1.883115583E0,1.871109009E-2,5.239105225E-3,9.854906616E0,9.854925772E0
1.893183583E0,-2.155517578E-2,-4.655319214E-2,9.895023193E0,9.895156180E0
1.903251583E0,-1.182540894E-2,-3.667373657E-2,9.870923309E0,9.870998520E0
1.913319583E0,-1.495390320E-1,-1.091230774E-1,9.971364441E0,9.973082702E0
1.923387583E0,-5.478607178E-2,-1.080752563E-1,9.884844360E0,9.885586973E0
1.933455583E0,-6.526428223E-2,-9.774673462E-2,9.934690704E0,9.935385913E0
1.943523583E0,2.248324585E-1,6.990463257E-2,9.766889648E0,9.769727207E0
1.953591583E0,-5.179229736E-2,-1.196012878E-1,9.915829926E0,9.916686444E0
1.963659583E0,2.170486450E-2,-6.735992432E-2,9.871821442E0,9.872075113E0
1.973727583E0,7.933502197E-3,-3.532653809E-2,9.868079224E0,9.868145645E0
1.983795583E0,-4.430786133E-2,-7.065307617E-2,9.896520081E0,9.896871463E0
1.993863583E0,-6.586303711E-3,-4.475692749E-2,9.874216461E0,9.874320092E0
2.003931583E0,-1.588197327E-1,-1.022373962E-1,9.942324829E0,9.944118825E0
2.013999583E0,-1.260379028E-1,-1.047821045E-1,9.919572144E0,9.920926184E0
2.024067583E0,-1.061293030E-1,-8.487350464E-2,9.949509888E0,9.950437877E0
2.034135583E0,1.561253357E-1,7.035369873E-2,9.803413696E0,9.804909223E0
2.044203583E0,-4.026626587E-2,-7.514373779E-2,9.900861053E0,9.901228083E0
2.054271583E0,-8.981323242E-3,-3.996688843E-2,9.889634399E0,9.889719236E0
2.064339583E0,2.694396973E-2,-3.712280273E-2,9.863438873E0,9.863545533E0
2.074407583E0,8.831634521E-3,-5.972579956E-2,9.894125061E0,9.894309268E0
2.084475583E0,2.409988403E-2,-4.400848389E-2,9.876910858E0,9.877038304E0
2.094543583E0,-7.379653931E-2,-7.918533325E-2,9.914931793E0,9.915522614E0
2.104611583E0,-1.309776306E-1,-1.264869690E-1,9.948462067E0,9.950128220E0
2.114679583E0,-7.993377686E-2,-9.565109253E-2,9.925410004E0,9.926192738E0
2.124747583E0,1.398092651E-1,4.056564331E-2,9.802964630E0,9.804045478E0
2.134815583E0,-4.251159668E-2,-8.562194824E-2,9.904752960E0,9.905214261E0
2.144883583E0,-4.146377563E-2,-6.212081909E-2,9.901459808E0,9.901741492E0
2.154951583E0,-1.856140137E-2,-4.775070190E-2,9.869127045E0,9.869260017E0
2.165019583E0,-3.233276367E-2,-6.242019653E-2,9.898316345E0,9.898565965E0
2.175087583E0,-3.083587646E-2,-5.463638306E-2,9.894125061E0,9.894323964E0
2.185155583E0,-7.903564453E-2,-7.304809570E-2,9.916129303E0,9.916713317E0
2.195223583E0,-1.215472412E-1,-1.104702759E-1,9.934840393E0,9.936198018E0
2.205291583E0,-5.643264771E-2,-7.409591675E-2,9.935738525E0,9.936175064E0
2.215359583E0,1.673519897E-1,4.550537109E-2,9.808203735E0,9.809736895E0
2.225427583E0,-1.706451416E-2,-6.765930176E-2,9.909243622E0,9.909489297E0
2.235495583E0,4.790039062E-3,-4.939727783E-2,9.879904633E0,9.880029281E0
2.245563583E0,1.856140137E-2,-2.424957275E-2,9.879156189E0,9.879203388E0
2.255631583E0,-2.035766602E-2,-6.107299805E-2,9.877958679E0,9.878168454E0
2.265699583E0,-1.556762695E-2,-5.209167480E-2,9.883347473E0,9.883497011E0
2.275767583E0,-7.334747314E-2,-7.065307617E-2,9.911339264E0,9.911862475E0
2.285835583E0,-1.312770081E-1,-1.166075134E-1,9.939480743E0,9.941031557E0
2.295903583E0,-6.197113037E-2,-7.948471069E-2,9.912087708E0,9.912600111E0
2.305971583E0,8.487350464E-2,3.891906738E-3,9.837243347E0,9.837610245E0
2.316039583E0,-4.805007935E-2,-7.170089722E-2,9.905800781E0,9.906176808E0
2.326107583E0,-1.841171265E-2,-5.927673340E-2,9.878856812E0,9.879051808E0
2.336175583E0,2.694396973E-3,-5.164260864E-2,9.890831909E0,9.890967095E0
2.346243583E0,-2.275268555E-2,-6.451583862E-2,9.886341248E0,9.886577934E0
2.356311583E0,-2.065704346E-2,-5.882766724E-2,9.882149963E0,9.882346650E0
2.366379583E0,-5.508544922E-2,-7.319778442E-2,9.898316345E0,9.898740263E0
2.376447583E0,-8.457412720E-2,-9.325607300E-2,9.924362183E0,9.925160664E0
2.386515583E0,1.826202393E-2,-1.916015625E-2,9.886790314E0,9.886825745E0
2.396583583E0,6.047424316E-2,-1.706451416E-2,9.860594788E0,9.860794993E0
2.406651583E0,-3.263214111E-2,-6.062393188E-2,9.912536774E0,9.912775868E0
2.416719583E0,7.484436035E-4,-3.203338623E-2,9.876761169E0,9.876813145E0
2.426787583E0,-1.796264648E-2,-4.640350342E-2,9.893526306E0,9.893651435E0
2.436855583E0,-4.834945679E-2,-6.256988525E-2,9.901459808E0,9.901775548E0
2.446923583E0,-5.523513794E-2,-6.227050781E-2,9.890532532E0,9.890882787E0
2.456991583E0,-7.948471069E-2,-8.098159790E-2,9.910890198E0,9.911539757E0
2.467059583E0,-1.046324158E-1,-1.083746338E-1,9.930798798E0,9.931941289E0
2.477127583E0,2.245330811E-3,-4.161346436E-2,9.880802765E0,9.880890648E0
2.487195583E0,5.149291992E-2,-3.113525391E-2,9.855655060E0,9.855838756E0
2.497263583E0,-2.260299683E-2,-6.316864014E-2,9.915380859E0,9.915607836E0
2.507331583E0,1.616638184E-2,-4.311035156E-2,9.870025177E0,9.870132565E0
2.517399583E0,6.586303711E-3,-5.224136353E-2,9.877808990E0,9.877949331E0
2.527467583E0,-1.631607056E-2,-5.403762817E-2,9.888137512E0,9.888298627E0
2.537535583E0,-3.442840576E-2,-5.448669434E-2,9.896669769E0,9.896879641E0
2.547603583E0,-6.556365967E-2,-7.499404907E-2,9.910890198E0,9.911390781E0
2.557671583E0,-7.334747314E-2,-7.768844604E-2,9.910740509E0,9.911316400E0
2.567739583E0,1.362167358E-2,-2.200424194E-2,9.869127045E0,9.869160976E0
2.577807583E0,5.538482666E-3,-4.221221924E-2,9.882000275E0,9.882091984E0
2.587875583E0,-4.071533203E-2,-4.909790039E-2,9.904752960E0,9.904958331E0
2.597943583E0,-1.526824951E-2,-5.134323120E-2,9.891430664E0,9.891575700E0
2.608011583E0,-2.005828857E-2,-6.002517700E-2,9.886490936E0,9.886693501E0
2.618079583E0,-4.131408691E-2,-6.706054688E-2,9.894125061E0,9.894438574E0
2.628147583E0,-3.861968994E-2,-7.499404907E-2,9.896669769E0,9.897029257E0
2.638215583E0,-6.451583862E-2,-8.367599487E-2,9.911189575E0,9.911752759E0
2.648283583E0,-6.466552734E-2,-8.637039185E-2,9.905501404E0,9.906089013E0
2.658351583E0,2.320175171E-2,-4.026626587E-2,9.873318329E0,9.873427698E0
2.668419583E0,6.586303711E-3,-5.298980713E-2,9.878557434E0,9.878701751E0
2.678487583E0,-7.783813477E-3,-4.730163574E-2,9.886640625E0,9.886756843E0
2.688555583E0,-0.000000000E0,-4.116439819E-2,9.876611481E0,9.876697264E0
2.698623583E0,-1.571731567E-2,-4.984634399E-2,9.899064789E0,9.899202765E0
2.708691583E0,-3.891906738E-2,-6.077362061E-2,9.896520081E0,9.896783206E0
2.718759583E0,-4.475692749E-2,-5.149291992E-2,9.894125061E0,9.894360284E0
2.728827583E0,-6.631210327E-2,-6.481521606E-2,9.912087708E0,9.912521426E0
2.738895583E0,-5.313949585E-2,-6.541397095E-2,9.916877747E0,9.917235857E0
2.748963583E0,7.484436035E-3,-3.757186890E-2,9.876012726E0,9.876087030E0
2.759031583E0,-1.032852173E-2,-4.894821167E-2,9.888736267E0,9.888862804E0
2.769099583E0,-1.137634277E-2,-6.032455444E-2,9.891430664E0,9.891621154E0
2.779167583E0,-8.831634521E-3,-5.972579956E-2,9.883796539E0,9.883980939E0
2.789235583E0,-1.182540894E-2,-6.017486572E-2,9.887239380E0,9.887429565E0
2.799303583E0,-2.724334717E-2,-6.661148071E-2,9.896220703E0,9.896482380E0
2.809371583E0,-3.068618774E-2,-7.065307617E-2,9.893077240E0,9.893377117E0
2.819439583E0,-5.792953491E-2,-8.592132568E-2,9.901908875E0,9.902451094E0
2.829507583E0,-3.487747192E-2,-6.870712280E-2,9.901459808E0,9.901759613E0
2.839575583E0,1.122665405E-2,-4.251159668E-2,9.871222687E0,9.871320611E0
2.849643583E0,-8.232879639E-3,-4.954696655E-2,9.892628174E0,9.892755676E0
2.859711583E0,-1.122665405E-2,-4.984634399E-2,9.888736267E0,9.888868270E0
2.869783333E0,-1.272354126E-2,-4.834945679E-2,9.887688446E0,9.887814843E0
2.879851333E0,-1.811233521E-2,-5.448669434E-2,9.888287201E0,9.888453905E0
2.889919333E0,-4.146377563E-2,-4.790039063E-2,9.881700897E0,9.881903982E0
2.899987333E0,-3.936813354E-2,-5.538482666E-2,9.898316345E0,9.898549581E0
2.910055333E0,-6.182144165E-2,-7.289840698E-2,9.912536774E0,9.912997597E0
2.920123333E0,-3.248245239E-2,-5.822891235E-2,9.896969147E0,9.897193744E0
2.930191333E0,7.484436035E-4,-4.879852295E-2,9.886041870E0,9.886162335E0
2.940259333E0,1.646575928E-3,-5.538482666E-2,9.893376617E0,9.893531780E0
2.950327333E0,-2.395019531E-3,-5.358856201E-2,9.883497162E0,9.883642730E0
2.960395333E0,-2.544708252E-3,-5.284011841E-2,9.887389069E0,9.887530589E0
2.970463333E0,-8.831634521E-3,-6.541397095E-2,9.885143738E0,9.885364116E0
2.980531333E0,-2.020797729E-2,-6.346801758E-2,9.897717590E0,9.897941708E0
2.990600333E0,-4.101470947E-2,-6.661148071E-2,9.902357941E0,9.902666918E0
3.000668333E0,-5.433700562E-2,-7.708969116E-2,9.898466034E0,9.898915352E0
3.010736333E0,-3.158432007E-2,-5.837860107E-2,9.889634399E0,9.889857137E0
3.020804333E0,-2.020797729E-2,-5.179229736E-2,9.892478485E0,9.892634704E0
3.030872333E0,-1.886077881E-2,-6.002517700E-2,9.893975372E0,9.894175429E0
3.040939333E0,-1.107696533E-2,-4.879852295E-2,9.896969147E0,9.897095649E0
3.051008333E0,-1.092727661E-2,-4.311035156E-2,9.884245605E0,9.884345659E0
3.061076333E0,-2.185455322E-2,-4.610412598E-2,9.889035645E0,9.889167265E0
3.071144333E0,-3.278182983E-2,-5.029541016E-2,9.886940002E0,9.887122275E0
3.081212333E0,-4.086502075E-2,-6.152206421E-2,9.891280975E0,9.891556715E0
3.091280333E0,-4.610412598E-2,-7.095245361E-2,9.898166656E0,9.898528325E0
3.101348333E0,-1.496887207E-2,-5.328918457E-2,9.890233154E0,9.890388043E0
3.111416333E0,-1.496887207E-3,-4.909790039E-2,9.883497162E0,9.883619225E0
3.121484333E0,-4.191284180E-3,-5.807922363E-2,9.875563660E0,9.875735333E0
3.131552333E0,-7.035369873E-3,-5.792953491E-2,9.890532532E0,9.890704681E0
